,Desc_word_count,channelSubscribers,dayslive,mean_energy_entropy,mean_spectral_entropy,Description_ne_counts,Title_ne_counts,tags_composer,Title_composer,Description_composer,tags_artists,Title_artists,Description_artists,tags_instruments,Title_instruments,Description_instruments,tags_genres,Title_genres,Description_genres,tags_count,Title_pos,Description_pos,tags_pos,mfccPC1,mfccPC2,views_cat,viewCount
0,27,760.0,2741.0773842592594,3.1120694491000003,0.4171317559,3,4,1,2,1,0,0,0,1,0,0,0,0,0,8,0.0,0.32499999999999996,0.0,0.8524322746145259,-0.14684857487196068,3,298637.0
1,25,33845.0,423.3240625,3.1954336663,0.4256808074,13,11,2,3,1,0,0,0,0,1,0,0,0,0,9,0.0,0.0,0.0,-1.1188390464856257,0.781115171666009,3,33825.0
2,27,2566.0,1006.268125,3.1619676798,0.2932797623,9,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.6023684891962457,0.9822791398089558,3,75483.0
3,17,19225.0,900.544212962963,3.174901091,0.33355637,11,6,0,1,0,0,0,0,2,2,2,0,0,0,8,0.0,0.13636363636363635,0.0,1.431952797530639,-1.2681254808104243,3,43967.0
4,11,27300.0,2284.2667708333333,3.1722005129000004,0.2236097939,8,4,1,1,1,2,1,2,2,0,2,0,0,0,10,0.0,0.0,0.0,-0.24383021625132287,1.2323537196173144,3,27736.0
5,7,1884.0,4334.73917824074,3.1691245833,0.15517835359999999,4,5,7,0,2,3,0,0,1,0,0,0,0,0,13,0.0,0.0,0.0,-2.7247269473840547,0.1659166996325074,3,111080.0
6,25,52.0,4266.317291666666,3.1710980939,0.266317925,5,5,2,1,2,1,1,1,1,0,0,0,0,0,6,0.0,0.4125,0.0,-1.4430749642172602,0.9506634660529146,3,132654.0
7,13,0.0,1504.5424305555555,3.1833572825,0.3958095197,11,7,2,0,0,0,0,0,2,0,0,0,0,0,34,0.0,0.0,0.0,-1.9554462320681405,0.08531285141592444,3,52992.0
8,14,4728.0,1730.6075925925925,3.1982648645999996,0.4817978461,7,6,0,2,0,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,2.44676495303919,-1.0663877694467165,2,7367.0
9,5,45457.0,1632.0844444444444,3.1975495218,0.5435650371999999,3,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,1.7256032206217276,-1.9246351296087258,2,8663.0
10,8,27300.0,2290.1475578703703,3.1422192359,0.3372485843,6,4,1,1,1,0,0,0,1,0,1,0,0,0,6,0.0,0.0,0.0,-1.2143095097731722,0.08430519482348042,1,231.0
11,15,2443.0,1480.4411458333334,3.2272867007999997,0.4537528298,13,2,0,1,1,0,0,0,0,0,2,0,0,0,2,0.0,0.0,0.0,-4.074716008658482,-0.19353368473730412,2,14715.0
12,3,508.0,787.9367476851852,3.1820053913,0.3145991419,0,5,1,1,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,-0.6591671658532533,1.0430605973269462,2,10861.0
13,14,499.0,746.2666550925926,3.2172691666000004,0.1263091135,9,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.2811597084809878,1.2124691735274609,2,4261.0
14,4,12930.0,3264.0808564814815,3.1440394981,0.16823903210000002,1,4,1,1,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.3404036158478453,1.0406847239691104,1,646.0
15,4,3274.0,133.38878472222223,3.1285632209,0.035529737,1,4,0,1,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,-0.7120054539994862,0.5762731272266226,0,141.0
16,23,5469.0,316.39989583333335,3.0042022725,0.5678554786,13,8,0,1,1,0,1,1,1,0,0,0,0,0,11,0.0,0.5,0.0,2.3040633901033813,-0.5406138785998598,1,1648.0
17,8,7.0,1800.0977430555556,3.1798807387,0.31062370429999997,6,5,0,1,1,0,1,1,0,1,1,0,0,0,3,0.0,0.0,0.0,-0.12211805951497934,0.5879808007123305,1,1668.0
18,10,1233.0,2368.4885300925926,3.2151466171,0.7137071454,4,7,0,1,0,0,0,0,2,1,0,0,0,0,8,0.0,0.0,0.0,-0.4960471734445619,1.1337946586398633,2,18214.0
19,0,8.0,374.12844907407407,3.2314147835000004,0.3223357884,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.2876092493706959,0.44018071264069425,0,198.0
20,19,23703.0,20.765833333333333,3.1752653479000004,0.30223370899999996,14,4,0,1,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.164991315207369,-0.604395858204495,0,0.0
21,27,13.0,715.0327430555556,3.1614133269,0.19456295440000002,20,2,0,1,2,0,0,1,0,0,0,0,0,0,4,0.0,0.0,0.0,0.6855256257971435,0.14100359482261482,1,281.0
22,13,69.0,579.5954166666667,3.1726960266,0.5868014849000001,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,-3.4730589626806054,-0.1355599677726704,0,34.0
23,19,10955.0,2931.6281365740742,3.2089642572000003,0.37044629,13,9,3,3,2,0,0,0,2,0,0,0,0,0,14,0.0,0.13636363636363635,0.0,-4.866380437372486,-0.6747347854883156,2,18635.0
24,26,174.0,109.52907407407407,3.1713816227,0.20475376480000002,17,2,0,1,2,0,0,0,0,0,0,0,0,0,4,0.0,0.07619047619047618,0.3,0.5852520088504052,0.12673801160076933,1,1613.0
25,16,266.0,800.1385416666667,3.1543241358999996,0.16308951060000001,11,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.31819749555215426,1.8577211876637916,1,920.0
26,19,24.0,2538.7213541666665,3.2066100318,0.3180692223,13,5,1,2,1,0,0,1,2,0,2,0,0,0,10,0.0,0.0,0.06818181818181818,-1.4042366791689629,1.4358966255291679,0,120.0
27,10,884.0,2761.3746180555554,3.1865749474,0.4109036768,7,7,1,1,1,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,-1.545735540324605,0.6301757130456146,1,1241.0
28,11,7528.0,934.9252777777778,3.1838472944,0.2284864743,7,5,0,1,1,0,0,0,1,2,0,0,0,0,4,0.0,0.0,0.0,-2.2026127840028673,-0.1147944984596121,2,10568.0
29,0,1.0,33.180416666666666,3.0550925556,0.18887863789999998,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.3778496365357868,-0.8053649916819411,0,0.0
30,3,0.0,83.63799768518518,2.956122185,0.17991140379999998,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9121806100787593,-1.4782767914667632,0,5.0
31,7,10.0,2065.6428819444445,3.1893370873,0.12542133619999998,5,3,1,1,0,0,0,0,1,0,0,0,0,0,15,0.0,0.0,-0.08333333333333333,-0.7845868884623898,0.8899628182691667,0,133.0
32,0,3494.0,2212.1990277777777,3.1999105643,0.2938291482,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,-3.1382201431806545,0.9037531586641296,1,846.0
33,25,4371.0,2487.3089467592595,3.17437355,0.175970235,12,6,1,1,1,0,0,0,1,0,1,0,0,0,41,0.0,0.0,0.0,1.6417782560449363,-1.0729475594083837,2,3785.0
34,3,2437.0,3217.717824074074,3.1688366411,0.6446533481000001,1,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0.0,0.0,0.0,1.2551417393414883,-1.9371888599370224,3,70647.0
35,0,1.0,174.61306712962963,3.2305243661,0.5669333049,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-2.338195367070656,0.40303034547439487,0,10.0
36,13,3294.0,553.2604513888889,3.1581393892,0.3001414081,9,5,1,2,3,0,1,1,0,0,2,0,0,0,2,0.0,0.0,0.0,-0.6281870276666204,-0.6944303125977601,1,280.0
37,13,42602.0,984.6442245370371,3.2109315785000003,0.3408074504,9,9,0,2,2,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,-2.4943310851670453,0.06817256318155233,2,8066.0
38,15,4062.0,1578.1147800925926,3.2062763362999998,0.3717044579,10,8,0,1,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0,0.09659090909090909,-1.1617912379060338,-0.17398029154879438,1,1298.0
39,11,171.0,1264.3313425925926,3.1720152008999998,0.38892482869999995,7,6,0,1,0,0,0,0,0,0,1,0,0,0,8,0.0,0.0,0.0,0.10207540575897919,0.25390316420366754,1,892.0
